City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Hobart,58,AU,1584563877,76,-42.88,147.33,57.2,5.82
Yellowknife,5,CA,1584564001,54,62.46,-114.35,3.0,3.36
Nyandoma,100,RU,1584564001,98,61.67,40.2,34.16,7.54
Morganton,90,US,1584564001,59,35.75,-81.68,68.0,3.36
Burē,100,ET,1584564002,31,10.7,37.07,70.16,6.4
Ushuaia,75,AR,1584564002,75,-54.8,-68.3,50.0,32.21
Mar del Plata,75,AR,1584563908,77,-38.0,-57.56,68.0,12.75
São João da Barra,20,BR,1584564002,62,-21.64,-41.05,84.2,11.41
Lebu,0,CL,1584564002,67,-37.62,-73.65,61.88,9.91
Hilo,20,US,1584563773,83,19.73,-155.09,75.99,4.7
Kiryat Gat,40,IL,1584564002,62,31.61,34.76,59.0,8.05
Anadyr,90,RU,1584564002,96,64.75,177.48,32.0,38.03
Geraldton,88,AU,1584564002,67,-28.77,114.6,60.8,10.29
Albany,75,US,1584563862,20,42.6,-73.97,53.6,7.07
Hobyo,20,SO,1584564057,80,5.35,48.53,80.24,11.52
Port Alfred,52,ZA,1584564003,89,-33.59,26.89,68.0,4.0
Port Blair,0,IN,1584564057,68,11.67,92.75,82.04,8.66
Punta Arenas,40,CL,1584564057,76,-53.15,-70.92,51.8,29.97
Arraial do Cabo,40,BR,1584564057,78,-22.97,-42.03,82.4,8.05
Chernyshevskiy,100,RU,1584564057,93,63.01,112.47,16.88,9.95
Busselton,79,AU,1584564057,65,-33.65,115.33,54.0,5.73
Souillac,40,MU,1584564057,88,-20.52,57.52,77.0,8.05
Kloulklubed,90,PW,1584564003,88,7.04,134.26,78.8,9.17
Hong Kong,40,HK,1584563835,78,22.29,114.16,73.0,6.93
Vaini,75,TO,1584564057,78,-21.2,-175.2,78.8,6.93
Sun Prairie,90,US,1584564057,86,43.18,-89.21,42.01,4.7
Bethel,1,US,1584564058,27,41.37,-73.41,55.99,5.82
Broome,1,US,1584564058,39,42.25,-75.83,52.0,8.05
Saint Paul Harbor,1,US,1584564058,41,57.79,-152.41,42.8,24.16
Butaritari,49,KI,1584564058,81,3.07,172.79,82.22,15.5
Rikitea,78,PF,1584564058,80,-23.12,-134.97,79.88,11.99
Puerto Ayora,20,EC,1584564058,70,-0.74,-90.35,84.2,10.29
Bredasdorp,60,ZA,1584564004,87,-34.53,20.04,59.0,2.24
Sfântu Gheorghe,0,RO,1584564058,63,45.87,25.78,39.99,0.94
Nikolskoye,90,RU,1584564004,100,59.7,30.79,37.99,4.47
Omsukchan,100,RU,1584564004,97,62.53,155.8,-2.74,7.4
Mitsamiouli,20,KM,1584564005,78,-11.38,43.28,80.6,6.93
Amboasary,40,MG,1584564005,73,-25.03,46.38,71.6,4.7
Kapaa,40,US,1584564005,88,22.08,-159.32,77.0,10.29
Bathsheba,20,BB,1584564005,62,13.22,-59.52,84.2,14.99
Chizhou,0,CN,1584564005,77,30.66,117.48,54.32,4.54
Brandon,1,US,1584564005,55,27.94,-82.29,90.0,6.93
Atuona,67,PF,1584564005,77,-9.8,-139.03,82.4,13.6
Cartagena,20,CO,1584564005,49,10.4,-75.51,91.4,17.22
Oussouye,0,SN,1584564005,74,12.48,-16.55,78.8,6.93
Bluff,19,NZ,1584564006,64,-46.6,168.33,60.01,8.99
Qaanaaq,0,GL,1584564006,63,77.48,-69.36,-16.6,4.88
Cape Town,10,ZA,1584563709,82,-33.93,18.42,66.0,16.11
Ust-Maya,1,RU,1584564006,97,60.42,134.53,-11.38,3.53
Cayenne,90,GF,1584564006,69,4.93,-52.33,82.4,13.87
Katherine,98,AU,1584564006,83,-14.47,132.27,71.6,5.82
Mataura,41,NZ,1584564006,64,-46.19,168.86,60.01,8.99
Isangel,75,VU,1584564006,83,-19.55,169.27,78.8,4.7
Alugan,42,PH,1584564006,84,12.22,125.48,78.44,8.93
Puerto Baquerizo Moreno,20,EC,1584564006,70,-0.9,-89.6,86.0,9.17
Yatou,8,CN,1584564006,68,37.15,122.38,42.44,27.04
Pevek,100,RU,1584564007,98,69.7,170.31,-5.26,17.65
Humaitá,91,BR,1584564007,71,-7.51,-63.02,84.02,3.49
Redlands,90,US,1584564007,50,34.06,-117.18,62.01,5.82
Jamestown,1,US,1584564007,42,42.1,-79.24,51.01,10.29
Galich,100,RU,1584564007,97,58.38,42.35,36.86,9.26
Lompoc,1,US,1584564007,47,34.64,-120.46,64.99,12.75
Rosarito,90,MX,1584563740,71,32.33,-117.03,57.2,9.17
Grindavik,40,IS,1584564007,68,63.84,-22.43,30.2,18.34
Paita,0,PE,1584564007,100,-5.09,-81.11,62.6,11.41
Berlevåg,90,NO,1584564007,92,70.86,29.09,24.8,24.16
Saint-Philippe,29,RE,1584564007,73,-21.36,55.77,77.0,8.05
Codrington,100,AU,1584564007,63,-38.27,141.97,68.9,10.94
Oranjemund,54,NA,1584564008,94,-28.55,16.43,60.8,7.54
Nikolayevsk-on-Amur,96,RU,1584564008,98,53.14,140.73,14.9,2.68
Blagoyevo,100,RU,1584564008,98,63.37,47.92,32.72,9.42
Longyearbyen,20,SJ,1584563923,62,78.22,15.64,-13.0,2.24
Taastrup,100,DK,1584564008,93,55.65,12.29,45.0,9.17
Umm Bāb,20,QA,1584564008,57,25.21,50.81,78.01,10.29
Kjøpsvik,90,NO,1584564008,88,68.1,16.37,33.01,19.46
Noyon,4,FR,1584564008,76,49.58,3.0,55.0,3.36
Barbacoas,82,CO,1584564008,85,1.67,-78.14,77.72,1.52
Yar-Sale,81,RU,1584564008,94,66.83,70.83,15.44,7.0
Esperance,40,AU,1584564008,87,-33.87,121.9,53.6,9.17
Vardø,90,NO,1584564009,92,70.37,31.11,28.4,24.16
Cherskiy,100,RU,1584564009,92,68.75,161.3,-15.52,18.3
Copiapó,20,CL,1584564009,60,-27.37,-70.33,69.8,8.05
Chokurdakh,6,RU,1584564009,96,70.63,147.92,-29.56,9.51
Hermanus,39,ZA,1584564009,94,-34.42,19.23,64.0,1.01
Touros,20,BR,1584564009,70,-5.2,-35.46,86.0,13.87
Barrow,90,US,1584564009,85,71.29,-156.79,24.8,25.28
Javānrūd,88,IR,1584564009,97,34.8,46.52,37.94,8.1
Port Elizabeth,13,ZA,1584564009,88,-33.92,25.57,66.2,16.11
Laas,27,IT,1584564009,92,46.62,10.7,53.6,1.12
Lázaro Cárdenas,0,MX,1584563735,48,17.96,-102.2,85.64,9.64
Zhigansk,100,RU,1584564010,90,66.77,123.37,-18.04,13.94
Gillette,90,US,1584564010,64,44.29,-105.5,46.0,8.05
Raudeberg,40,NO,1584564010,81,61.99,5.14,42.8,18.34
Stolin,100,BY,1584564010,85,51.89,26.85,48.02,10.16
Okha,0,RU,1584564010,95,53.57,142.95,6.8,3.89
Beira,40,MZ,1584564010,83,-19.84,34.84,77.0,5.82
Sitka,90,US,1584564010,93,57.05,-135.33,37.4,4.23
Belmonte,40,BR,1584564010,83,-15.86,-38.88,84.2,8.05
Mahébourg,40,MU,1584564010,88,-20.41,57.7,77.0,8.05
Khani,90,GE,1584564011,93,41.96,42.96,41.0,3.36
Ribeira Grande,40,PT,1584564011,67,38.52,-28.7,57.2,23.04
Karratha,24,AU,1584564011,73,-20.74,116.85,87.44,4.07
Meschede,0,DE,1584564011,57,51.35,8.28,54.0,8.05
Angoche,2,MZ,1584564011,96,-16.23,39.91,72.68,5.53
Klaksvík,54,FO,1584564011,86,62.23,-6.59,37.4,6.93
Naryan-Mar,99,RU,1584564011,96,67.67,53.09,21.92,5.7
George Town,20,MY,1584564011,88,5.41,100.34,80.6,3.36
Honiara,20,SB,1584564011,100,-9.43,159.95,75.2,2.24
Saskylakh,100,RU,1584564011,93,71.92,114.08,3.2,10.76
Bambous Virieux,40,MU,1584564011,88,-20.34,57.76,77.0,15.32
Linjiang,100,CN,1584563715,96,41.81,126.91,28.58,2.21
Iwanai,7,JP,1584564012,87,42.97,140.51,30.38,8.25
Nara,0,JP,1584564012,87,34.69,135.8,50.0,3.36
Sur,0,OM,1584564012,55,22.57,59.53,69.62,8.46
Torbay,75,CA,1584564012,72,47.67,-52.73,39.99,18.34
Comodoro Rivadavia,0,AR,1584564012,23,-45.87,-67.5,82.4,13.87
Tuktoyaktuk,90,CA,1584564012,92,69.45,-133.04,17.6,24.16
Kavaratti,38,IN,1584564012,70,10.57,72.64,82.94,8.75
San Fernando del Valle de Catamarca,57,AR,1584563967,62,-28.47,-65.79,84.99,4.0
Saldanha,0,ZA,1584564012,85,-33.01,17.94,62.78,17.47
Norman Wells,75,CA,1584564013,73,65.28,-126.83,23.0,23.04
Kruisfontein,2,ZA,1584564013,95,-34.0,24.73,62.78,6.8
San Cristobal,75,VE,1584564013,65,7.77,-72.22,78.8,6.93
Adrar,96,MR,1584564013,22,20.5,-10.07,71.06,9.01
Valparaíso,9,CL,1584564013,64,-33.04,-71.63,68.0,5.82
Tiksi,100,RU,1584564013,70,71.69,128.87,-7.24,15.19
Ryōtsu-minato,0,JP,1584564013,100,38.08,138.43,37.4,1.12
Soligalich,100,RU,1584564013,96,59.08,42.29,35.96,7.74
Namatanai,97,PG,1584564013,77,-3.67,152.43,80.96,4.29
Dicabisagan,82,PH,1584564013,73,17.08,122.42,75.2,3.83
Hithadhoo,100,MV,1584564013,75,-0.6,73.08,84.02,8.1
São Filipe,35,CV,1584564014,76,14.9,-24.5,67.82,20.24
Jijiga,60,ET,1584564014,43,9.35,42.8,71.06,7.92
Provideniya,90,RU,1584564014,86,64.38,-173.3,30.2,26.84
Kwinana,27,AU,1584564014,87,-32.25,115.77,59.0,10.29
Kabalo,100,CD,1584564014,97,-6.05,26.92,68.36,2.84
Yola,89,NG,1584563939,13,9.2,12.48,84.74,1.34
Castro,100,BR,1584564014,94,-24.79,-50.01,69.26,4.32
New Norfolk,98,AU,1584564014,76,-42.78,147.06,57.2,5.82
Sioux Lookout,75,CA,1584564014,33,50.1,-91.92,32.0,3.36
Gravdal,40,NO,1584564014,86,68.12,13.5,33.8,18.34
Apastovo,24,RU,1584564014,51,55.2,48.51,39.2,17.9
Le Port,75,RE,1584564015,88,-20.94,55.29,77.0,2.24
San Quintín,97,MX,1584564015,64,30.48,-115.95,60.08,16.69
Port Augusta,0,AU,1584564015,24,-32.5,137.77,82.4,12.75
Cidreira,77,BR,1584564015,89,-30.18,-50.21,75.38,26.55
Pochutla,75,MX,1584564015,52,15.74,-96.47,91.0,13.87
East London,2,ZA,1584563793,76,-33.02,27.91,71.06,11.41
Omboué,100,GA,1584564015,95,-1.57,9.26,77.18,2.59
Palora,75,EC,1584564015,55,-1.7,-77.93,86.0,2.24
Muhos,31,FI,1584564015,86,64.81,25.99,30.2,6.93
Pueblo,20,US,1584564015,14,38.25,-104.61,70.0,4.92
Saint George,90,US,1584564015,76,37.1,-113.58,50.0,10.29
Murdochville,0,CA,1584564016,71,48.96,-65.5,15.98,11.16
Caravelas,0,BR,1584564016,81,-17.71,-39.25,81.32,13.22
Carnarvon,72,AU,1584564016,43,-24.87,113.63,73.4,12.75
Paamiut,100,GL,1584564016,75,61.99,-49.67,28.76,29.8
Ugoofaaru,100,MV,1584564016,80,5.67,73.0,83.66,12.95
Shancheng,16,CN,1584564016,21,34.8,116.08,47.84,10.89
Alekseyevsk,94,RU,1584564016,90,57.84,108.35,21.92,10.27
Tashtyp,83,RU,1584564016,84,52.79,89.9,24.98,11.3
Husavik,90,IS,1584564016,86,66.04,-17.34,28.4,6.93
Eirunepé,100,BR,1584564016,87,-6.66,-69.87,81.68,1.36
Chui,79,UY,1584564017,91,-33.7,-53.46,72.5,4.36
Jackson,75,US,1584563938,43,42.42,-122.83,53.6,1.88
Vestmannaeyjar,100,IS,1584564017,74,63.44,-20.27,32.54,23.73
Tual,97,ID,1584564017,77,-5.67,132.75,80.96,4.85
Alofi,100,NU,1584564017,82,-19.06,-169.92,81.14,11.68
Mount Gambier,75,AU,1584564017,53,-37.83,140.77,73.4,11.41
Ashland,90,US,1584564017,93,40.82,-82.27,48.0,7.7
Canyon,1,US,1584564017,49,34.98,-101.92,71.6,8.05
Khatanga,100,RU,1584564017,98,71.97,102.5,-2.74,0.96
