,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,100,ZA,1584324713,98,-33.59,26.89,289.82,4.81
1,Ushuaia,40,AR,1584324450,76,-54.8,-68.3,285.15,3.1
2,Arraial do Cabo,0,BR,1584324520,83,-22.97,-42.03,298.65,11.88
3,Saint-Philippe,93,RE,1584324713,78,-21.36,55.77,299.15,6.7
4,Koygorodok,0,RU,1584324713,96,60.45,51.0,259.19,1.72
5,Orica,38,HN,1584324713,81,14.7,-86.95,292.91,2.41
6,Pevek,0,RU,1584324465,82,69.7,170.31,259.56,5.48
7,Daru,76,PG,1584324713,60,-9.08,143.21,304.07,2.53
8,Qaanaaq,100,GL,1584324713,51,77.48,-69.36,254.08,3.07
9,Avarua,100,CK,1584324713,79,-21.21,-159.78,302.15,3.1
10,Port Lincoln,57,AU,1584323968,41,-34.73,135.87,296.68,7.45
11,Antalaha,100,MG,1584324714,76,-14.9,50.28,300.29,6.55
12,Punta Arenas,75,CL,1584324539,76,-53.15,-70.92,287.15,8.2
13,Mataura,97,NZ,1584324763,71,-46.19,168.86,285.37,7.15
14,Acapulco de Juárez,20,MX,1584324515,78,16.86,-99.89,301.15,4.1
15,Kapaa,75,US,1584324763,74,22.08,-159.32,300.15,4.6
16,Ancud,1,CL,1584324763,81,-41.87,-73.82,285.15,2.1
17,Lüderitz,0,NA,1584324764,82,-26.65,15.16,290.15,6.7
18,Narsaq,100,GL,1584324764,48,60.92,-46.05,267.15,1.5
19,Albany,1,US,1584324764,50,42.6,-73.97,273.15,4.6
20,Omboué,92,GA,1584324714,95,-1.57,9.26,296.89,0.9
21,Auki,100,SB,1584324764,74,-8.77,160.7,302.14,5.88
22,Vaini,90,TO,1584324764,89,-21.2,-175.2,302.15,5.7
23,Hermanus,50,ZA,1584324764,77,-34.42,19.23,291.28,14.31
24,Kenai,1,US,1584324616,46,60.55,-151.26,274.26,3.1
25,Hatillo,40,PR,1584324764,78,18.49,-66.83,297.59,5.7
26,Fortuna,1,US,1584324495,65,40.6,-124.16,282.15,5.7
27,Anadyr,100,RU,1584324715,79,64.75,177.48,268.15,2.0
28,Thompson,90,CA,1584324764,78,55.74,-97.86,264.15,4.6
29,Wuda,100,CN,1584324764,20,39.5,106.71,280.51,6.69
30,Kulhudhuffushi,79,MV,1584324715,74,6.62,73.07,301.48,2.49
31,Clyde River,1,CA,1584324715,67,70.47,-68.59,243.15,7.7
32,Butaritari,88,KI,1584324765,78,3.07,172.79,302.06,5.83
33,Ormara,67,PK,1584324720,63,25.21,64.64,295.96,1.89
34,New Norfolk,20,AU,1584324715,51,-42.78,147.06,293.71,1.5
35,Jaru,100,BR,1584324765,98,-10.44,-62.47,295.72,1.22
36,Kharakvasla,0,IN,1584324765,27,18.43,73.77,297.15,2.0
37,Vila Franca do Campo,20,PT,1584324765,81,37.72,-25.43,283.15,1.0
38,Prado,100,BR,1584324765,80,-17.34,-39.22,299.93,3.44
39,Akdepe,0,TM,1584324716,76,42.06,59.38,283.15,5.1
40,Yol,64,IN,1584324488,59,32.17,76.2,289.56,1.48
41,George Town,20,MY,1584324601,70,5.41,100.34,303.15,2.1
42,Samora Correia,40,PT,1584324716,70,38.94,-8.87,284.26,2.1
43,Puerto Ayora,40,EC,1584324716,78,-0.74,-90.35,300.15,3.1
44,Rikitea,3,PF,1584324716,79,-23.12,-134.97,299.61,5.68
45,Busselton,91,AU,1584324716,42,-33.65,115.33,296.48,3.36
46,Birao,100,CF,1584324716,14,10.28,22.79,299.6,4.61
47,Coalinga,90,US,1584324716,62,36.14,-120.36,288.15,6.7
48,Gamba,100,GA,1584324716,90,-2.65,10.0,298.55,0.24
49,Soe,42,ID,1584324716,58,-9.86,124.28,302.67,2.04
50,Jamestown,1,US,1584324717,42,42.1,-79.24,272.59,4.1
51,Upernavik,0,GL,1584324717,78,72.79,-56.15,243.06,2.75
52,Alofi,100,NU,1584324512,79,-19.06,-169.92,303.15,3.6
53,Hilo,75,US,1584324696,65,19.73,-155.09,300.15,6.2
54,Lundazi,100,ZM,1584324717,95,-12.29,33.18,291.35,2.91
55,Mar del Plata,75,AR,1584324717,87,-38.0,-57.56,288.71,1.5
